year,fileLoc,urlLoc
1999,1999.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00731-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2000,2000.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00729-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2001,2001.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00727-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2002,2002.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00725-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2003,2003.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00723-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2004,2004.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00721-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2005,2005.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00719-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2006,2006.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00717-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2007,2007.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00715-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2008,2008.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00714-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2009,2009.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00711-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2010,2010.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00709-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2011,2011.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00702-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2012,2012.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00733-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2013,2013.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00735-P(CITYonlineDefault)&VariantId=4(CITYonlineDefault)
2014,2014.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00737-P(CITYonlineDefault)&VariantId=3(CITYonlineDefault)
2015,2015.csv,https://data.calgary.ca/_layouts/OpenData/DownloadDataset.ashx?DatasetId=PDC0-99999-99999-00739-P(CITYonlineDefault)&VariantId=2(CITYonlineDefault)
